Image Number,Image Pair,SSIM,PSNR,Histogram
p1-nomor1,Original vs. Original,1.00,100.00,1.00
p1-nomor1,Original vs. ns,0.86,35.80,0.99
p1-nomor1,Original vs. telea,0.86,35.80,0.99
p1-nomor1,Original vs. lap,0.78,29.70,0.01
p1-nomor1,Original vs. bilap,0.86,35.78,0.11
p1-nomor2,Original vs. Original,1.00,100.00,1.00
p1-nomor2,Original vs. ns,0.98,39.04,0.96
p1-nomor2,Original vs. telea,0.97,38.90,0.97
p1-nomor2,Original vs. lap,0.90,29.42,0.01
p1-nomor2,Original vs. bilap,0.98,39.18,0.11
p1-nomor3,Original vs. Original,1.00,100.00,1.00
p1-nomor3,Original vs. ns,0.89,35.59,0.72
p1-nomor3,Original vs. telea,0.89,35.59,0.73
p1-nomor3,Original vs. lap,0.44,28.41,0.07
p1-nomor3,Original vs. bilap,0.89,35.58,0.61
p1-nomor4,Original vs. Original,1.00,100.00,1.00
p1-nomor4,Original vs. ns,0.69,34.46,0.38
p1-nomor4,Original vs. telea,0.71,34.92,0.53
p1-nomor4,Original vs. lap,0.78,29.57,-0.00
p1-nomor4,Original vs. bilap,0.73,34.69,0.59
p1-nomor5,Original vs. Original,1.00,100.00,1.00
p1-nomor5,Original vs. ns,0.94,38.18,0.05
p1-nomor5,Original vs. telea,0.95,38.48,0.06
p1-nomor5,Original vs. lap,0.88,27.97,0.00
p1-nomor5,Original vs. bilap,0.91,36.88,0.03
p1-nomor6,Original vs. Original,1.00,100.00,1.00
p1-nomor6,Original vs. ns,0.88,36.88,0.91
p1-nomor6,Original vs. telea,0.89,36.93,0.98
p1-nomor6,Original vs. lap,0.82,27.78,0.00
p1-nomor6,Original vs. bilap,0.88,36.75,0.25
p1-nomor7,Original vs. Original,1.00,100.00,1.00
p1-nomor7,Original vs. ns,0.93,39.72,0.86
p1-nomor7,Original vs. telea,0.93,39.73,0.92
p1-nomor7,Original vs. lap,0.71,28.50,-0.00
p1-nomor7,Original vs. bilap,0.93,39.66,0.62
p1-nomor8,Original vs. Original,1.00,100.00,1.00
p1-nomor8,Original vs. ns,0.85,31.92,0.01
p1-nomor8,Original vs. telea,0.85,31.99,0.01
p1-nomor8,Original vs. lap,0.69,28.47,-0.00
p1-nomor8,Original vs. bilap,0.79,32.04,0.00
p1-nomor9,Original vs. Original,1.00,100.00,1.00
p1-nomor9,Original vs. ns,0.92,36.43,0.12
p1-nomor9,Original vs. telea,0.90,36.09,0.68
p1-nomor9,Original vs. lap,0.81,28.13,-0.01
p1-nomor9,Original vs. bilap,0.87,35.75,0.09
p1-nomor10,Original vs. Original,1.00,100.00,1.00
p1-nomor10,Original vs. ns,0.90,36.34,0.72
p1-nomor10,Original vs. telea,0.90,36.36,0.76
p1-nomor10,Original vs. lap,0.71,28.91,-0.01
p1-nomor10,Original vs. bilap,0.90,36.29,0.49
p1-nomor11,Original vs. Original,1.00,100.00,1.00
p1-nomor11,Original vs. ns,0.93,37.09,0.79
p1-nomor11,Original vs. telea,0.93,37.14,0.79
p1-nomor11,Original vs. lap,0.74,28.77,-0.01
p1-nomor11,Original vs. bilap,0.92,36.84,0.29
